selection_rank,name,source,session,duration_seconds,text_characters,annotation_pattern,expression,action,joint_speed_mean,joint_speed_p90,body_rotation_speed,body_rotation_p90,hand_rotation_speed,hand_rotation_p90,joint_positions_available,complexity_score,duration_bin,text_length_bin,complexity_bin
5410,fbx_to_json_data_susu_retarget_maya/20251111/Human_1021_280_2_4_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251111,5.25,24,action-only,<unannotated>,身体随着节奏左右摇摆，双臂像钟摆一样在身体两侧夸张地晃动。,3.951503276824951,9.108826637268066,0.028192391619086266,0.07316586375236511,0.025564059615135193,0.07401455193758011,True,0.8326979703438847,q2of5,q5of5,q5of5
5411,fbx_to_json_data_susu_retarget_maya/20250805/Human_susu_250804_68-12_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250805,6.85,14,expression-only,故作可爱,<unannotated>,0.007827822118997574,0.018728675320744514,0.007827822118997574,0.018728675320744514,0.009894190356135368,0.026875432580709457,False,0.15723262172678515,q4of5,q1of5,q1of5
5412,fbx_to_json_data_susu_retarget_maya/20250912/Human_0912_33-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250912,5.5,14,expression+action,俏皮而略带赞赏,眉毛轻挑，身体微微前倾,0.016182269901037216,0.04286875203251839,0.016182269901037216,0.04286875203251839,0.02094504050910473,0.05948733165860176,False,0.6121043222210537,q2of5,q1of5,q4of5
5413,fbx_to_json_data_susu_retarget_maya/20250922/Human_0916_32_0_10_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250922,4.35,21,action-only,<unannotated>,放下手臂，双臂在胸前交叉，歪着头对你扬了扬眉毛，带着一丝得意的神情,0.9257965683937073,2.2441203594207764,0.01592950150370598,0.039211370050907135,0.013948281295597553,0.03835056722164154,True,0.46137869386896624,q1of5,q4of5,q3of5
5414,fbx_to_json_data_susu_retarget_maya/20250820/Human_0819_94-11_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250820,6.15,16,expression-only,坏笑,<unannotated>,0.01053722482174635,0.022242821753025055,0.01053722482174635,0.022242821753025055,0.02212522178888321,0.059815797954797745,False,0.4087180565779787,q3of5,q2of5,q2of5
5415,fbx_to_json_data_susu_retarget_maya/20251119/Human_1119_0_0_3_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251119,8.35,39,action-only,<unannotated>,踮着脚尖高举双臂，夸张地左右大幅度摇摆上半身，模仿树苗在狂风中乱舞,2.716329336166382,8.152413368225098,0.027990221977233887,0.07215562462806702,0.020853258669376373,0.05296760052442551,True,0.7297823114943738,q5of5,q5of5,q5of5
5416,fbx_to_json_data_susu_retarget_maya/20250911/Human_0910_160-10_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250911,7.05,19,expression+action,眼中闪过一丝心疼的神色,目光变得专注而柔和,0.01379241980612278,0.03442416712641716,0.01379241980612278,0.03442416712641716,0.01385431457310915,0.03987723961472511,False,0.40477442422967713,q4of5,q3of5,q2of5
5417,fbx_to_json_data_susu_retarget_maya/20250901/Human_0829_63-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250901,5.55,20,no-tags,<unannotated>,<unannotated>,0.017673131078481674,0.04287207871675491,0.017673131078481674,0.04287207871675491,0.015519180335104465,0.03989405184984207,False,0.5197181617415081,q2of5,q4of5,q3of5
5418,fbx_to_json_data_susu_retarget_maya/20251014/Human_0916_210_0_10_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251014,4.45,17,action-only,<unannotated>,双手在身前画一个大大的圆，仿佛在把面团塑造成完美的圆形,2.094440221786499,6.219645977020264,0.022999806329607964,0.06420931965112686,0.037208784371614456,0.12192972004413605,True,0.9176569565674624,q1of5,q2of5,q5of5
5419,fbx_to_json_data_susu_retarget_maya/20251106/Human_0916_177_1_8_02_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251106,6.2,19,action-only,<unannotated>,突然笑起来，双臂举过头顶做出一个大大的圆形，然后用力点点头。,1.6528167724609375,4.667931079864502,0.017989806830883026,0.04981464147567749,0.018085498362779617,0.049942854791879654,True,0.6005494794405299,q3of5,q3of5,q4of5
5420,fbx_to_json_data_susu_retarget_maya/20250929/Human_0916_120_1_1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250929,8.75,24,action-only,<unannotated>,身体像不倒翁一样前后轻轻摇晃，双臂无力地垂在身体两侧。,0.0069643910974264145,0.01585523784160614,0.0069643910974264145,0.01585523784160614,0.004057460930198431,0.008926160633563995,False,0.07592806814596698,q5of5,q5of5,q1of5
5421,fbx_to_json_data_susu_retarget_maya/20250813/Human_0811_180-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250813,4.8,15,expression-only,不服气,<unannotated>,0.012122344225645065,0.028784889727830887,0.012122344225645065,0.028784889727830887,0.0218295119702816,0.06427624821662903,False,0.4868414133978336,q2of5,q1of5,q3of5
5422,fbx_to_json_data_susu_retarget_maya/20250915/Human_0912_128-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250915,8.85,20,expression+action,嘴角带着浅浅的笑意，表情轻松而柔和。,忍不住轻笑了一下,0.016877278685569763,0.04243034869432449,0.016877278685569763,0.04243034869432449,0.02002529427409172,0.05675612762570381,False,0.602797349879062,q5of5,q4of5,q4of5
5423,fbx_to_json_data_susu_retarget_maya/20251104/Human_0916_165_3_14_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251104,5.7,17,action-only,<unannotated>,双腿并拢站好，身体微微后仰，用一种审视又带点得意的眼神看着你。,0.43517324328422546,1.2088772058486938,0.011159336194396019,0.023562850430607796,0.011505142785608768,0.03205512836575508,True,0.24768640235566308,q3of5,q2of5,q1of5
5424,fbx_to_json_data_susu_retarget_maya/20251113/Human_1021_315_3_7_02_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251113,4.25,23,action-only,<unannotated>,突然停下旋转，双手叉腰，俏皮地歪了歪头，仿佛刚才的沉思只是个玩笑。,2.0802018642425537,5.853366851806641,0.02372479811310768,0.0638505145907402,0.03468751162290573,0.09754768759012222,True,0.8981359764433695,q1of5,q5of5,q5of5
5425,fbx_to_json_data_susu_retarget_maya/20251029/Human_1021_53_3_8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251029,6.9,18,action-only,<unannotated>,在屏幕底部轻巧地“落地”，双腿交叉，做一个优雅的屈膝礼，然后缓缓站直。,0.8832643032073975,2.294933319091797,0.01507075410336256,0.03847251087427139,0.011928457766771317,0.03198544681072235,True,0.411886107897781,q4of5,q3of5,q2of5
5426,fbx_to_json_data_susu_retarget_maya/20250910/Human_0908_153-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250910,6.3,21,expression+action,眉眼弯弯，带着一丝俏皮。,转向用户，语气带着试探,0.013255054131150246,0.026592640206217766,0.013255054131150246,0.026592640206217766,0.015097854658961296,0.04142914339900017,False,0.35922547060679355,q3of5,q4of5,q2of5
5427,fbx_to_json_data_susu_retarget_maya/20251020/Human_0916_301_2_2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251020,5.1,44,no-tags,<unannotated>,<unannotated>,0.7369933724403381,1.5974243879318237,0.012883470393717289,0.03065524809062481,0.005683704745024443,0.013201550580561161,True,0.249947418235356,q2of5,q5of5,q1of5
5428,fbx_to_json_data_susu_retarget_maya/20250829/Human_0826_249-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250829,8.5,19,expression-only,明媚,<unannotated>,0.012685473076999187,0.031289707869291306,0.012685473076999187,0.031289707869291306,0.02561122737824917,0.0753856748342514,False,0.5758491954990009,q5of5,q3of5,q4of5
5429,fbx_to_json_data_susu_retarget_maya/20251110/Human_1021_263_4_12_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251110,4.05,17,action-only,<unannotated>,身体向一侧歪，任由外套从肩膀滑落，再俏皮地耸耸肩把它拉回来,1.0975490808486938,2.292649030685425,0.01861131377518177,0.042430512607097626,0.014919698238372803,0.035267461091279984,True,0.5095567357240508,q1of5,q2of5,q3of5
5430,fbx_to_json_data_susu_chonglu/20260115/Human_436_65_01_B,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260115,3.5,6,expression+action,温和否认,轻微摇头,0.06728672236204147,0.17474283277988434,0.002418338553979993,0.004786927718669176,0.0016083517111837864,0.004307929426431656,True,0.017772636449679254,q1of5,q1of5,q1of5
5431,fbx_to_json_data_susu_retarget_maya/20251011/Human_0916_186_1_13_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251011,7.6,21,action-only,<unannotated>,完成动作后，她松了一口气，双臂垂下，带着一点不好意思的笑容看着你，眼神里闪着期待的光。,1.2511162757873535,3.0395560264587402,0.01719152368605137,0.03770986571907997,0.03966425731778145,0.11969174444675446,True,0.7972972972972974,q4of5,q4of5,q5of5
5432,fbx_to_json_data_susu_retarget_maya/20250804/Human_790-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250804,5.7,46,expression-only,调侃,<unannotated>,0.009952888824045658,0.018427861854434013,0.009952888824045658,0.018427861854434013,0.019212821498513222,0.05530637502670288,False,0.340703544010937,q3of5,q5of5,q2of5
5433,fbx_to_json_data_susu_retarget_maya/20250905/Human_0904_163-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250905,7.55,16,expression+action,眼中带着一丝骄傲，但又努力保持矜持,苏苏的声音重新变得轻快，甚至带上了一点俏皮,0.017279768362641335,0.0432245135307312,0.017279768362641335,0.0432245135307312,0.02269013412296772,0.07261545956134796,False,0.6810127247870439,q4of5,q2of5,q4of5
5434,fbx_to_json_data_susu_retarget_maya/20250822/Human_0819_260-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250822,4.65,13,no-tags,<unannotated>,<unannotated>,0.013406474143266678,0.03196685016155243,0.013406474143266678,0.03196685016155243,0.02352677658200264,0.06394007802009583,False,0.5457198443579766,q2of5,q1of5,q3of5
5435,fbx_to_json_data_susu_retarget_maya/20250928/Human_0916_108_4_12_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250928,4.0,19,action-only,<unannotated>,动作逐渐放缓，双臂从高处缓缓落下，最终收于身前，完成一场盛大的指挥。,1.2260794639587402,3.7958831787109375,0.017605753615498543,0.04883068427443504,0.026727955788373947,0.06880784779787064,True,0.7274424229677148,q1of5,q3of5,q5of5
5436,fbx_to_json_data_susu_retarget_maya/20250806/Human_susu_250804_144-10_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250806,8.2,11,expression-only,若即若离,<unannotated>,0.0067134276032447815,0.014713252894580364,0.0067134276032447815,0.014713252894580364,0.007130492478609085,0.018110139295458794,False,0.10203491429172364,q5of5,q1of5,q1of5
5437,fbx_to_json_data_susu_retarget_maya/20251125/Human_1119_96_0_2_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251125,6.05,27,action-only,<unannotated>,双手紧紧环抱住肩膀，身体夸张地蜷缩起来，做出因寒冷而剧烈颤抖的样子,1.3088175058364868,2.9594333171844482,0.019594937562942505,0.04388611763715744,0.006990431807935238,0.013921474106609821,True,0.42093017141655276,q3of5,q5of5,q2of5
5438,fbx_to_json_data_susu_retarget_maya/20250909/Human_0908_108-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250909,5.35,16,action-only,<unannotated>,歪着头露出好奇的表情,0.014035474509000778,0.03004145435988903,0.014035474509000778,0.03004145435988903,0.018946878612041473,0.06046779826283455,False,0.4905484278052371,q2of5,q2of5,q3of5
5439,fbx_to_json_data_susu_retarget_maya/20250916/Human_0915_32-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250916,6.9,21,expression+action,眼中闪过一丝探究的光芒,双手在身前轻轻摆动,0.0208143200725317,0.04834665730595589,0.0208143200725317,0.04834665730595589,0.042574379593133926,0.12197460979223251,False,0.8792722683773266,q4of5,q4of5,q5of5
5440,fbx_to_json_data_susu_retarget_maya/20250902/Human_0901_31-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250902,8.35,23,expression-only,眼神带着狡黠的亮光，笑容更加明显,<unannotated>,0.014072359539568424,0.03625528886914253,0.014072359539568424,0.03625528886914253,0.02315901778638363,0.062299031764268875,False,0.5764538857924072,q5of5,q5of5,q4of5
5441,fbx_to_json_data_susu_chonglu/20260119/Human_422_30_01_B,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260119,4.1,10,expression+action,恍然浅笑,头部微偏,0.13722069561481476,0.29871878027915955,0.003915662877261639,0.009259872138500214,0.0027591208927333355,0.007464613765478134,True,0.0414081396571669,q1of5,q1of5,q1of5
5442,fbx_to_json_data_susu_retarget_maya/20250930/Human_0916_135_0_3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250930,6.6,18,action-only,<unannotated>,微微仰起头，闭上眼睛，双臂向两侧舒展张开，仿佛在拥抱看不见的光。,1.7008190155029297,4.441938877105713,0.016933051869273186,0.044897980988025665,0.002675561932846904,0.00631970539689064,True,0.36439162898306865,q4of5,q3of5,q2of5
5443,fbx_to_json_data_susu_retarget_maya/20251121/Human_1119_54_0_6_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251121,5.5,21,action-only,<unannotated>,突然侧身，左臂有力地指向侧方，仿佛在示意并不存在的小提琴组进场,1.76887845993042,4.6728715896606445,0.02476271614432335,0.062241408973932266,0.022785698994994164,0.06297693401575089,True,0.757361447050163,q2of5,q4of5,q5of5
5444,fbx_to_json_data_susu_retarget_maya/20250828/Human_0826_145-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250828,7.8,22,no-tags,<unannotated>,<unannotated>,0.01407025009393692,0.03581450879573822,0.01407025009393692,0.03581450879573822,0.03046082705259323,0.0883256122469902,False,0.686362919339573,q5of5,q4of5,q4of5
5445,fbx_to_json_data_susu_retarget_maya/20250925/Human_0916_80_4_9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250925,5.8,19,action-only,<unannotated>,身体大幅度地抖动几下，好像在把“褶皱”的自己“抖平”一样。,3.4488542079925537,9.428613662719727,0.03936658427119255,0.1116524189710617,0.006585426162928343,6.565981607309368e-07,True,0.5212167420338627,q3of5,q3of5,q3of5
5446,fbx_to_json_data_susu_retarget_maya/20250801/Human_528-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250801,8.7,30,expression+action,小忧伤,单脚轻轻划圈,0.012745640240609646,0.030976494774222374,0.012745640240609646,0.030976494774222374,0.021303100511431694,0.06801800429821014,False,0.5180881270375434,q5of5,q5of5,q3of5
5447,fbx_to_json_data_susu_chonglu/20260116/Human_435_118_01_B,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260116,3.1,9,expression+action,瞳孔微张惊讶,身体前倾凑近屏幕,0.321083664894104,0.7506319284439087,0.006883247755467892,0.015267579816281796,0.0023739768657833338,0.006355288904160261,True,0.06196760963297929,q1of5,q1of5,q1of5
5448,fbx_to_json_data_susu_retarget_maya/20251009/Human_0916_143_2_2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251009,4.7,16,action-only,<unannotated>,双臂抱得更紧了些，上下摩挲着自己的胳膊，身体还配合着抖了一下。,1.3418482542037964,2.3358654975891113,0.03113325498998165,0.07436305284500122,0.0172257199883461,0.04580356925725937,True,0.6795798717004943,q2of5,q2of5,q4of5
5449,fbx_to_json_data_susu_retarget_maya/20250821/Human_0819_156-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250821,6.1,17,expression-only,小傲娇,<unannotated>,0.015979047864675522,0.04144291952252388,0.015979047864675522,0.04144291952252388,0.03775952383875847,0.10598590224981308,False,0.789055105689347,q3of5,q2of5,q5of5
5450,fbx_to_json_data_susu_retarget_maya/20250904/Human_0904_38-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250904,7.65,17,action-only,<unannotated>,双手轻抚脸颊，做出思考状,0.01523625012487173,0.039451129734516144,0.01523625012487173,0.039451129734516144,0.013178716413676739,0.03138930723071098,False,0.4274766011147334,q4of5,q2of5,q2of5
5451,fbx_to_json_data_susu_retarget_maya/20251031/Human_1021_83_0_9_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251031,5.4,19,no-tags,<unannotated>,<unannotated>,0.7374846339225769,0.9497421979904175,0.012457781471312046,0.02645917981863022,0.017739446833729744,0.033756323158741,True,0.3474077190030498,q2of5,q3of5,q2of5
5452,fbx_to_json_data_susu_retarget_maya/20250903/Human_0901_199-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250903,8.5,22,expression+action,假装委屈,歪了歪脑袋,0.01431234646588564,0.03320901840925217,0.01431234646588564,0.03320901840925217,0.03058745712041855,0.09053172916173935,False,0.678975181407088,q5of5,q4of5,q4of5
5453,fbx_to_json_data_susu_retarget_maya/20251010/Human_0916_160_3_2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251010,7.5,18,action-only,<unannotated>,身体缓缓下沉，做出一个弯腰的姿势，到一半时突然僵住，像被按了暂停键。,0.6130549907684326,1.8101979494094849,0.005070864222943783,0.011974941939115524,0.003870382672175765,0.011649109423160553,True,0.06236197286780944,q4of5,q3of5,q1of5
5454,fbx_to_json_data_susu_retarget_maya/20250825/Human_0825_96-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250825,6.4,15,expression-only,眼神闪烁,<unannotated>,0.012132121250033379,0.022158609703183174,0.012132121250033379,0.022158609703183174,0.02538016252219677,0.07602008432149887,False,0.5070853927857819,q3of5,q1of5,q3of5
5455,fbx_to_json_data_susu_retarget_maya/20251022/Human_1021_19_1_6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251022,3.25,17,action-only,<unannotated>,猛地扭头向后看一眼，身体瞬间僵住，又立刻转回来继续跑。,3.419508934020996,12.313623428344727,0.04554309323430061,0.12241267412900925,0.03519017621874809,0.10445147007703781,True,0.9614312756336103,q1of5,q2of5,q5of5
5456,fbx_to_json_data_susu_retarget_maya/20250826/Human_0825_248-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250826,3.4,20,expression-only,羞恼,<unannotated>,0.012321913614869118,0.029329881072044373,0.012321913614869118,0.029329881072044373,0.018687359988689423,0.053779058158397675,False,0.43188032390367015,q1of5,q4of5,q2of5
5457,fbx_to_json_data_susu_retarget_maya/20250912/Human_0912_98-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250912,7.15,18,expression+action,眼神闪躲，显得有些局促,轻轻地晃了晃身体，像是在思考。,0.01998135820031166,0.05443241819739342,0.01998135820031166,0.05443241819739342,0.03189333900809288,0.08796948194503784,False,0.8367730571037963,q4of5,q3of5,q5of5
5458,fbx_to_json_data_susu_retarget_maya/20250805/Human_susu_250804_33-12_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250805,9.25,31,no-tags,<unannotated>,<unannotated>,0.008559559471905231,0.01781216263771057,0.008559559471905231,0.01781216263771057,0.007218736223876476,0.016604313626885414,False,0.12422441897150069,q5of5,q5of5,q1of5
5459,fbx_to_json_data_susu_retarget_maya/20251013/Human_0916_203_2_1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251013,5.25,19,action-only,<unannotated>,用手背捂着嘴，肩膀先是轻微抖动，然后抑制不住地弯下腰去,1.144830584526062,2.4833576679229736,0.019349610432982445,0.04645007848739624,0.009570209309458733,0.022989168763160706,True,0.46106320328110206,q2of5,q3of5,q3of5
5460,fbx_to_json_data_susu_retarget_maya/20250911/Human_0910_166-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250911,6.1,19,expression+action,带着一丝促狭的笑意,轻笑着歪了歪头,0.02087223529815674,0.05560225993394852,0.02087223529815674,0.05560225993394852,0.017705125734210014,0.045932598412036896,False,0.6238957829424755,q3of5,q3of5,q4of5
5461,fbx_to_json_data_susu_retarget_maya/20250820/Human_0819_65-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250820,4.0,13,expression-only,若无其事,<unannotated>,0.016099529340863228,0.03540964424610138,0.016099529340863228,0.03540964424610138,0.024876181036233902,0.06981106102466583,False,0.6377773688084972,q1of5,q1of5,q4of5
5462,fbx_to_json_data_susu_chonglu/20260115/Human_169_43_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260115,5.75,26,expression+action,认真神情,身体微前倾,0.3970480263233185,1.0644690990447998,0.0063717723824083805,0.013342702761292458,0.025688502937555313,0.054721586406230927,True,0.3496161531180986,q3of5,q5of5,q2of5
5463,fbx_to_json_data_susu_retarget_maya/20251015/Human_0916_238_2_7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251015,4.6,22,action-only,<unannotated>,她缓缓蹲下身，双臂抱着膝盖，将自己缩成小小的一团。,1.0929131507873535,2.6492795944213867,0.022190455347299576,0.055170536041259766,0.028453676030039787,0.07829539477825165,True,0.8165422231570092,q2of5,q4of5,q5of5
5464,fbx_to_json_data_susu_retarget_maya/20250901/Human_0829_116-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250901,12.0,24,expression-only,渴望,<unannotated>,0.010176285170018673,0.02116691879928112,0.010176285170018673,0.02116691879928112,0.01104422751814127,0.0310662891715765,False,0.2130218740140919,q5of5,q5of5,q1of5
5465,fbx_to_json_data_susu_retarget_maya/20251107/Human_0916_190_0_7_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251107,7.1,26,action-only,<unannotated>,抱着胳膊，懒洋洋地扭动腰肢和上半身，闭着眼享受清晨的舒展。,1.4054011106491089,3.816751480102539,0.01805832050740719,0.04530498757958412,0.011239057406783104,0.02811504900455475,True,0.4659401619518351,q4of5,q5of5,q3of5
5466,fbx_to_json_data_susu_retarget_maya/20250915/Human_0912_118-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250915,5.85,16,expression+action,眼中闪过一丝俏皮,双手背在身后，身体微微前倾,0.015506978146731853,0.03187122941017151,0.015506978146731853,0.03187122941017151,0.016248654574155807,0.04593490809202194,False,0.4552529182879377,q3of5,q2of5,q3of5
5467,fbx_to_json_data_susu_retarget_maya/20250815/Human_0814_39-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250815,4.75,14,no-tags,<unannotated>,<unannotated>,0.011741573922336102,0.025507546961307526,0.011741573922336102,0.025507546961307526,0.019793327897787094,0.050137028098106384,False,0.39576979703438847,q2of5,q1of5,q2of5
5468,fbx_to_json_data_susu_retarget_maya/20250910/Human_0910_32-3_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250910,7.35,21,action-only,<unannotated>,嘴角微抿，显得有些不悦,0.02156742848455906,0.052364248782396317,0.02156742848455906,0.052364248782396317,0.04441193491220474,0.13927146792411804,False,0.9001077926175203,q4of5,q4of5,q5of5
5469,fbx_to_json_data_susu_retarget_maya/20251105/Human_0916_175_2_5_02_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251105,8.5,19,action-only,<unannotated>,她将怀中的“花束”小心翼翼地向屏幕前的你递出，眼神带着试探，又在半途俏皮地收回怀里。,0.7157392501831055,2.1773228645324707,0.012551377527415752,0.03480420261621475,0.004027664661407471,0.010801329277455807,True,0.25862340940161954,q5of5,q3of5,q1of5
5470,fbx_to_json_data_susu_retarget_maya/20251103/Human_0916_139_3_2_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251103,3.65,14,action-only,<unannotated>,双臂像风车一样在身体两侧大幅度地画圈，身体也跟着左右晃动,7.81151819229126,15.325803756713867,0.039159443229436874,0.09484551101922989,0.013230630196630955,0.03529427945613861,True,0.6314544116100536,q1of5,q1of5,q4of5
5471,fbx_to_json_data_susu_retarget_maya/20250812/Human_0811_84-11_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250812,4.75,16,no-tags,<unannotated>,<unannotated>,0.011181854642927647,0.022843055427074432,0.011181854642927647,0.022843055427074432,0.013278663158416748,0.02931077405810356,False,0.2508544536754653,q2of5,q2of5,q1of5
5472,fbx_to_json_data_susu_retarget_maya/20250819/Human_0814_270-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250819,8.35,27,expression-only,微蹙,<unannotated>,0.010424653999507427,0.02181045152246952,0.010424653999507427,0.02181045152246952,0.030631307512521744,0.08494164794683456,False,0.5290119886423389,q5of5,q5of5,q3of5
5473,fbx_to_json_data_susu_retarget_maya/20250916/Human_0915_49-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250916,6.55,22,expression+action,眉头轻蹙，眼中带着疑惑和关切,微微偏着头,0.013206531293690205,0.030680708587169647,0.013206531293690205,0.030680708587169647,0.009968392550945282,0.025922387838363647,False,0.30513198022925647,q3of5,q4of5,q2of5
5474,fbx_to_json_data_susu_retarget_maya/20250829/Human_0826_247-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250829,7.05,20,expression-only,小得意,<unannotated>,0.013666541315615177,0.03365794196724892,0.013666541315615177,0.03365794196724892,0.02530047856271267,0.07193995267152786,False,0.5975260279734989,q4of5,q4of5,q4of5
5475,fbx_to_json_data_susu_retarget_maya/20251028/Human_0916_130_0_11_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251028,3.95,16,action-only,<unannotated>,把'爱心'抛出去后，双臂在胸前交叉，身体向后缩了缩，好像在害羞地自我保护。,1.4723836183547974,3.0441536903381348,0.027442920953035355,0.0704299658536911,0.027773994952440262,0.08021989464759827,True,0.8592911978125986,q1of5,q2of5,q5of5
5476,fbx_to_json_data_susu_chonglu/20260116/Human_124_317_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260116,3.35,9,expression+action,满眼关切担忧,身体前倾靠近,0.16467200219631195,0.34923240542411804,0.0048184869810938835,0.012110736221075058,0.01142718456685543,0.03197333961725235,True,0.1460721421810916,q1of5,q1of5,q1of5
5477,fbx_to_json_data_susu_retarget_maya/20250818/Human_0814_130-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250818,8.35,24,no-tags,<unannotated>,<unannotated>,0.007333823014050722,0.014373371377587318,0.007333823014050722,0.014373371377587318,0.01969614066183567,0.05734958127140999,False,0.3114023556630561,q5of5,q5of5,q2of5
